DATA_ACIONA;FX_ATRASO;ORIGEM;ACIONAMENTOS;VALORPRIN_FIN_ACIONAMENTOS;CPC;VALORPRIN_FIN_CPC;CPCA;VALORPRIN_FIN_CPCA;PROMESSA;VALORPRIN_FIN_PROMESSA;nr_dia_util;quartil;dt_mes;mes_abreviado
2025-09-26;91-120;Humano;9;3397,1;0;0,0;0;0,0;0;0,0;20;Q3;9;Set
2025-09-26;121-150;Humano;10;5495,79;3;2119,6499999999996;1;639,3;0;0,0;20;Q3;9;Set
2025-09-26;151-180;Humano;6;2098,9;1;443,8;1;443,8;0;0,0;20;Q3;9;Set
2025-09-26;361-720;Humano;64;37431,11;22;15389,74;16;11733,95;8;4436,13;20;Q3;9;Set
2025-09-27;91-120;Humano;8;2748,22;1;639,3;0;0,0;0;0,0;20;Q3;9;Set
2025-09-27;121-150;Humano;3;713,32;0;0,0;0;0,0;0;0,0;20;Q3;9;Set
2025-09-27;151-180;Humano;5;1346,32;2;699,0999999999999;2;699,0999999999999;1;59,8;20;Q3;9;Set
2025-09-27;181-360;Humano;3;996,81;2;916,9100000000001;2;916,9100000000001;1;473,11;20;Q3;9;Set
2025-09-27;361-720;Humano;82;51829,1;16;7051,74;12;4151,04;9;1900,14;20;Q3;9;Set
2025-09-29;0-30;Humano;11;1154,69;3;369,6;2;209,8;2;209,8;21;Q3;9;Set
2025-09-29;31-60;Humano;44;8844,64;17;1200,27;14;938,3900000000001;7;460,59000000000003;21;Q3;9;Set
2025-09-29;61-90;Humano;16;5371,6900000000005;7;3293,48;7;3293,48;2;234,37;21;Q3;9;Set
2025-09-29;91-120;Humano;10;5781,299999999999;4;2357,88;4;2357,88;1;649,1999999999999;21;Q3;9;Set
2025-09-29;121-150;Humano;26;9229,98;7;1999,02;4;1578,6399999999999;3;939,34;21;Q3;9;Set
2025-09-29;151-180;Humano;8;3398,89;4;1824,74;4;1824,74;2;1222,25;21;Q3;9;Set
2025-09-29;361-720;Humano;59;27911,16;19;9415,98;12;7158,28;4;2470,96;21;Q3;9;Set
2025-09-29;Maior 720;Humano;39;10929,970000000001;8;1484,3200000000002;4;1213,88;0;0,0;21;Q3;9;Set
2025-09-30;0-30;Humano;6;436,85;1;57,25;0;0,0;0;0,0;22;Q3;9;Set
2025-09-30;31-60;Humano;26;4493,62;4;248,85000000000002;2;109,15;2;109,15;22;Q3;9;Set
2025-09-30;61-90;Humano;12;5016,66;5;1626,64;4;1431,99;2;139,7;22;Q3;9;Set
2025-09-30;91-120;Humano;9;2228,77;2;511,62;0;0,0;0;0,0;22;Q3;9;Set
2025-09-30;121-150;Humano;20;10565,669999999998;5;2698,6;4;2442,8799999999997;1;2159,45;22;Q3;9;Set
2025-09-30;151-180;Humano;20;13215,28;5;772,6;4;598,48;2;59,8;22;Q3;9;Set
2025-09-30;361-720;Humano;580;574974,91;11;8815,34;9;7101,46;1;161,07999999999998;22;Q3;9;Set
