DATA;FX_ATRASO;ORIGEM;ACIONAMENTOS;VALORPRIN_FIN_ACIONAMENTOS;CPC;VALORPRIN_FIN_CPC;CPCA;VALORPRIN_FIN_CPCA;PROMESSA;VALORPRIN_FIN_PROMESSA;nr_dia_util;quartil;dt_mes;mes_abreviado
2025-09-10;0-30;Robô;3701,0;334287,30000000005;3491,0;313123,0;757,0;63527,59999999999;241,0;18917,76;8;Q3;9;Set
2025-09-10;31-60;Robô;1017,0;166418,41000000003;946,0;152027,6;206,0;31200,469999999998;54,0;8164,4800000000005;8;Q3;9;Set
2025-09-10;61-90;Robô;3,0;491,94;3,0;491,94;1,0;372,34;1,0;372,34;8;Q3;9;Set
2025-09-10;91-120;Robô;1072,0;164215,97;1025,0;155982,11000000002;162,0;25160,829999999998;51,0;6452,900000000001;8;Q3;9;Set
2025-09-10;121-150;Robô;1931,0;279724,01;1793,0;258631,13;323,0;42641,96;119,0;15975,88;8;Q3;9;Set
2025-09-10;151-180;Robô;818,0;150778,01;764,0;138887,76;134,0;26095,48;41,0;3358,73;8;Q3;9;Set
2025-09-10;181-360;Robô;6057,0;1520551,93;5675,0;1424612,33;996,0;251427,56;180,0;20653,54;8;Q3;9;Set
2025-09-10;361-720;Robô;13,0;5510,360000000001;3,0;1202,06;0,0;0,0;0,0;0,0;8;Q3;9;Set
2025-09-10;Maior 720;Robô;2,0;526,4300000000001;0,0;0,0;0,0;0,0;0,0;0,0;8;Q3;9;Set
2025-09-11;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9;Q3;9;Set
2025-09-11;0-30;Robô;3684,0;333135,61;3489,0;313336,73;763,0;63944,990000000005;245,0;19044,299999999996;9;Q3;9;Set
2025-09-11;31-60;Robô;2603,0;325379,38;2391,0;297012,03;509,0;61629,3;138,0;16413,61;9;Q3;9;Set
2025-09-11;61-90;Robô;5,0;601,7399999999999;5,0;601,7399999999999;1,0;372,34;1,0;372,34;9;Q3;9;Set
2025-09-11;91-120;Robô;1247,0;192373,45;1194,0;182868,96000000002;195,0;29828,5;66,0;7699,21;9;Q3;9;Set
2025-09-11;121-150;Robô;2177,0;315416,6;2023,0;292240,68;386,0;50666,79;138,0;17491,41;9;Q3;9;Set
2025-09-11;151-180;Robô;911,0;176579,05;853,0;161019,72;161,0;32203,45;49,0;4496,039999999999;9;Q3;9;Set
2025-09-11;181-360;Robô;6240,0;1578969,02;5852,0;1479770,26;1063,0;269876,49;190,0;21483,76;9;Q3;9;Set
2025-09-11;361-720;Robô;18,0;7462,219999999999;3,0;1202,06;0,0;0,0;0,0;0,0;9;Q3;9;Set
2025-09-11;Maior 720;Robô;4,0;1450,73;0,0;0,0;0,0;0,0;0,0;0,0;9;Q3;9;Set
2025-09-12;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10;Q3;9;Set
2025-09-12;0-30;Robô;3684,0;333754,73;3501,0;314565,47;770,0;64654,6;249,0;19270,089999999997;10;Q3;9;Set
2025-09-12;31-60;Robô;3525,0;423799,01;3263,0;389925,78;713,0;83373,61;195,0;20130,71;10;Q3;9;Set
2025-09-12;61-90;Robô;6,0;694,5199999999999;6,0;694,5199999999999;1,0;372,34;1,0;372,34;10;Q3;9;Set
2025-09-12;91-120;Robô;1324,0;204483,47;1266,0;194793,24;215,0;32004,41;73,0;8426,37;10;Q3;9;Set
